fpr,tpr,method
0.1598974358974359,0.5653333333333334,FedTROS-PR
0.16038461538461538,0.5656,FedTROS-PR
0.16197435897435897,0.5694666666666667,FedTROS-PR
0.16225641025641024,0.57,FedTROS-PR
0.16253846153846155,0.5703333333333334,FedTROS-PR
0.16282051282051282,0.5704,FedTROS-PR
0.16302564102564102,0.5704,FedTROS-PR
0.16305128205128205,0.5704,FedTROS-PR
0.1631025641025641,0.5704666666666667,FedTROS-PR
0.1631025641025641,0.5705333333333333,FedTROS-PR
0.16374358974358974,0.5715333333333333,FedTROS-PR
0.16374358974358974,0.5716,FedTROS-PR
0.16382051282051283,0.5719333333333333,FedTROS-PR
0.16397435897435897,0.5721333333333334,FedTROS-PR
0.16405128205128205,0.5724,FedTROS-PR
0.16407692307692306,0.5724,FedTROS-PR
0.16528205128205128,0.5747333333333333,FedTROS-PR
0.16546153846153847,0.5753333333333334,FedTROS-PR
0.16638461538461538,0.5768,FedTROS-PR
0.1667948717948718,0.5774666666666667,FedTROS-PR
0.1676923076923077,0.5787333333333333,FedTROS-PR
0.1682051282051282,0.5796,FedTROS-PR
0.16823076923076924,0.5799333333333333,FedTROS-PR
0.1683076923076923,0.5799333333333333,FedTROS-PR
0.16856410256410256,0.5809333333333333,FedTROS-PR
0.1687179487179487,0.5812666666666667,FedTROS-PR
0.16956410256410256,0.5823333333333334,FedTROS-PR
0.16976923076923076,0.5826,FedTROS-PR
0.16997435897435897,0.5834666666666667,FedTROS-PR
0.17038461538461538,0.5847333333333333,FedTROS-PR
0.17043589743589743,0.5849333333333333,FedTROS-PR
0.17048717948717948,0.5852666666666667,FedTROS-PR
0.1705897435897436,0.5852666666666667,FedTROS-PR
0.1705897435897436,0.5854666666666667,FedTROS-PR
0.17082051282051283,0.5858666666666666,FedTROS-PR
0.17102564102564102,0.5858666666666666,FedTROS-PR
0.1712051282051282,0.5859333333333333,FedTROS-PR
0.1713076923076923,0.5859333333333333,FedTROS-PR
0.17148717948717948,0.586,FedTROS-PR
0.17187179487179488,0.5862,FedTROS-PR
0.1728974358974359,0.5874666666666667,FedTROS-PR
0.17315384615384616,0.5880666666666666,FedTROS-PR
0.17315384615384616,0.5881333333333333,FedTROS-PR
0.17325641025641025,0.5882,FedTROS-PR
0.1732820512820513,0.5882,FedTROS-PR
0.17384615384615384,0.5898,FedTROS-PR
0.17417948717948717,0.5902666666666667,FedTROS-PR
0.17425641025641025,0.5903333333333334,FedTROS-PR
0.17564102564102563,0.5912,FedTROS-PR
0.1763076923076923,0.5912,FedTROS-PR
0.17643589743589744,0.5913333333333334,FedTROS-PR
0.17694871794871794,0.5926,FedTROS-PR
0.17697435897435898,0.5927333333333333,FedTROS-PR
0.1776923076923077,0.5933333333333334,FedTROS-PR
0.1784102564102564,0.5945333333333334,FedTROS-PR
0.17858974358974358,0.5952666666666667,FedTROS-PR
0.17887179487179486,0.5954,FedTROS-PR
0.17915384615384616,0.5954666666666667,FedTROS-PR
0.1794102564102564,0.5955333333333334,FedTROS-PR
0.1794871794871795,0.5955333333333334,FedTROS-PR
0.17953846153846154,0.5956,FedTROS-PR
0.17961538461538462,0.5956666666666667,FedTROS-PR
0.1798974358974359,0.5959333333333333,FedTROS-PR
0.18007692307692308,0.5959333333333333,FedTROS-PR
0.18025641025641026,0.596,FedTROS-PR
0.18066666666666667,0.5960666666666666,FedTROS-PR
0.18076923076923077,0.5962,FedTROS-PR
0.1807948717948718,0.5963333333333334,FedTROS-PR
0.18102564102564103,0.5963333333333334,FedTROS-PR
0.18128205128205127,0.5963333333333334,FedTROS-PR
0.1823076923076923,0.5974,FedTROS-PR
0.1824102564102564,0.5976666666666667,FedTROS-PR
0.18246153846153845,0.5978,FedTROS-PR
0.18323076923076922,0.5995333333333334,FedTROS-PR
0.18333333333333332,0.5998,FedTROS-PR
0.1835128205128205,0.6004666666666667,FedTROS-PR
0.1835897435897436,0.6005333333333334,FedTROS-PR
0.18594871794871795,0.6012,FedTROS-PR
0.18607692307692308,0.6013333333333334,FedTROS-PR
0.18617948717948718,0.6016,FedTROS-PR
0.18638461538461537,0.6022,FedTROS-PR
0.1865128205128205,0.6022,FedTROS-PR
0.18776923076923077,0.6045333333333334,FedTROS-PR
